,attributes,credits,crn,levels,meeting_days,meeting_instructors,meeting_place,meeting_sched_type,meeting_time,meeting_type,number,section,subject,title
127,Upper Division,3.000,10084,Graduate|Professional|Undergraduate,TR,Tyler N Tallman,Seng-Liang Wang Hall 2579,Lecture,1:30 pm - 2:45 pm,Class,AAE 55300,WNG,AAE,Elasticity In Aerospace Engineering
128,Upper Division,3.000,19978,Graduate|Professional|Undergraduate,,Michael D Sangid,,Distance Learning,,Class,AAE 55400,EPE,AAE,Fatigue Of Structures And Materials
129,Upper Division,3.000,19977,Graduate|Professional|Undergraduate,TR,Michael D Sangid,Seng-Liang Wang Hall 2599,Lecture,9:00 am - 10:15 am,Class,AAE 55400,WNG,AAE,Fatigue Of Structures And Materials
130,Upper Division,3.000,13201,Graduate|Professional|Undergraduate,,Vikas Tomar,,Distance Learning,,Class,AAE 55800,EPE,AAE,Finite Element Methods In Aerospace Structures
131,Upper Division,3.000,10087,Graduate|Professional|Undergraduate,MWF,Vikas Tomar,Seng-Liang Wang Hall 2579,Lecture,12:30 pm - 1:20 pm,Class,AAE 55800,WNG,AAE,Finite Element Methods In Aerospace Structures
132,Upper Division,3.000,18543,Graduate|Professional|Undergraduate,R,Gesualdo Scutari,Grissom Hall 134,Lecture,4:30 pm - 7:20 pm,Class,AAE 56100,001,AAE,Introduction To Convex Optimization
133,Upper Division,3.000,19984,Graduate|Indiana College Network|Professional|Undergraduate,,Martin Corless,,Distance Learning,,Class,AAE 56400,EPE,AAE,Systems Analysis And Synthesis
134,Upper Division,3.000,16551,Graduate|Indiana College Network|Professional|Undergraduate,TR,Martin Corless,Seng-Liang Wang Hall 2555,Lecture,1:30 pm - 2:45 pm,Class,AAE 56400,WNG,AAE,Systems Analysis And Synthesis
135,Upper Division,3.000,19988,Graduate|Professional|Undergraduate,,James L Garrison,,Distance Learning,,Class,AAE 57500,EPE,AAE,Introduction To Satellite Navigation And Positioning
136,Upper Division,3.000,19986,Graduate|Professional|Undergraduate,TR,James L Garrison,Seng-Liang Wang Hall 2555,Lecture,9:00 am - 10:15 am,Class,AAE 57500,WNG,AAE,Introduction To Satellite Navigation And Positioning
137,Upper Division|Variable Title,3.000,15881,Graduate|Professional|Undergraduate,TR,Alexey Shashurin,Neil Armstrong Hall of Engr 1103,Lecture,4:30 pm - 5:45 pm,Class,AAE 59000,082,AAE,Electric Propulsion
138,Upper Division|Variable Title,3.000,21592,Graduate|Professional|Undergraduate,,Nicole Leanne Key,,Individual Study,,Class,AAE 59000,083,AAE,Principles Of Turbomachinery
139,Upper Division|Variable Title,3.000,21614,Graduate|Professional|Undergraduate,TR,James L Garrison,Physics Building 111,Lecture,3:00 pm - 4:15 pm,Class,AAE 59000,084,AAE,Earth Observation Mission Des
140,Upper Division|Variable Title,3.000,22641,Graduate|Professional|Undergraduate,,Carson Daniel Slabaugh,,Individual Study,,Class,AAE 59000,085,AAE,Rocket Propulsion
141,Upper Division|Variable Title,3.000,23942,Graduate|Professional|Undergraduate,,Kathleen Howell,,Individual Study,,Class,AAE 59000,086,AAE,Orbital Mechanics
142,Upper Division|Variable Title,3.000,16658,Graduate|Professional|Undergraduate,,Karen Marais,,Distance Learning,,Class,AAE 59000,EP1,AAE,System Safety And Reliability
143,Upper Division|Variable Title,3.000,19994,Graduate|Professional|Undergraduate,,David Allen Spencer,,Distance Learning,,Class,AAE 59000,EP4,AAE,Space Flight Operations
144,Upper Division|Variable Title,3.000,20004,Graduate|Professional|Undergraduate,,William E Anderson,,Distance Learning,,Class,AAE 59000,EP6,AAE,Aerospace Propulsion
145,Upper Division|Variable Title,3.000,15052,Graduate|Professional|Undergraduate,TR,Carolin E Frueh,Neil Armstrong Hall of Engr 3115,Lecture,4:30 pm - 5:45 pm,Class,AAE 59000,WN1,AAE,Space Traffic Management
146,Upper Division|Variable Title,3.000,19989,Graduate|Professional|Undergraduate,TR,David Allen Spencer,Seng-Liang Wang Hall 2579,Lecture,12:00 pm - 1:15 pm,Class,AAE 59000,WN3,AAE,Space Flight Operations
147,Upper Division|Variable Title,3.000,20001,Graduate|Professional|Undergraduate,TR,William E Anderson,Seng-Liang Wang Hall 2579,Lecture,4:30 pm - 5:45 pm,Class,AAE 59000,WN4,AAE,Aerospace Propulsion
148,Upper Division|Variable Title,3.000,16429,Graduate|Professional|Undergraduate,TR,Karen Marais,Seng-Liang Wang Hall 2555,Lecture,10:30 am - 11:45 am,Class,AAE 59000,WNG,AAE,System Safety & Reliability
149,Upper Division,0.000,10113,Graduate|Professional|Undergraduate,TR,Inseok Hwang,Neil Armstrong Hall of Engr 1109,Lecture,3:00 pm - 4:15 pm,Class,AAE 59500,001,AAE,Aerospace Seminar
150,Upper Division|Variable Title,1.000,23343,Graduate|Professional|Undergraduate,,Sergey O Macheret,,Individual Study,,Class,AAE 59700,001,AAE,Independent Study - Fluids
151,Upper Division|Variable Title,3.000,23832,Graduate|Professional|Undergraduate,,Gregory A Blaisdell,,Individual Study,,Class,AAE 59700,002,AAE,FFT Implementation For CFD
152,Upper Division|Variable Title,3.000,23990,Graduate|Professional|Undergraduate,,Alina Alexeenko,,Individual Study,,Class,AAE 59700,003,AAE,Dsmc For Reacting Flows
153,Upper Division|Variable Title,3.000,24064,Graduate|Professional|Undergraduate,,Gregory A Blaisdell,,Individual Study,,Class,AAE 59700,004,AAE,DNS Of Homog Comp Turbulence
154,Upper Division|Variable Title,3.000,24474,Graduate|Professional|Undergraduate,,Sally Pm Bane,,Individual Study,,Class,AAE 59700,005,AAE,Plasma Assisted Combustion
155,Upper Division|Variable Title,3.000,24679,Graduate|Professional|Undergraduate,,Shaoshuai Mou,,Individual Study,,Class,AAE 59700,006,AAE,Distributed UAV Control I
156,Upper Division|Variable Title,3.000,24826,Graduate|Professional|Undergraduate,,Shaoshuai Mou,,Individual Study,,Class,AAE 59700,007,AAE,Object Classification For UAS
157,Upper Division|Variable Title,3.000,24856,Graduate|Professional|Undergraduate,,Alexey Shashurin,,Individual Study,,Class,AAE 59700,008,AAE,Fundamentals Plasma Experiment
158,Upper Division|Variable Title,6.000,24861,Graduate|Professional|Undergraduate,,William E Anderson,,Individual Study,,Class,AAE 59700,009,AAE,Rocket Engine Injector Studies
159,Upper Division|Variable Title,1.000,24958,Graduate|Professional|Undergraduate,,John P Sullivan,,Individual Study,,Class,AAE 59700,010,AAE,CFD Examples
160,,3.000,20005,Graduate|Professional|Undergraduate,,Kathleen Howell,,Distance Learning,,Class,AAE 63200,EPE,AAE,Advanced Orbital Dynamics
161,,3.000,13556,Graduate|Professional|Undergraduate,MWF,Kathleen Howell,Seng-Liang Wang Hall 2599,Lecture,3:30 pm - 4:20 pm,Class,AAE 63200,WNG,AAE,Advanced Orbital Dynamics
162,Coop|Full-Time Privileges,0.000,10120,Graduate|Professional|Undergraduate,,Weinong W Chen,,Experiential,,Class,AAE 64200,001,AAE,Graduate Professional Practice
163,Variable Title,3.000,17072,Graduate|Professional|Undergraduate,TR,Li Qiao,Neil Armstrong Hall of Engr 1103,Lecture,1:30 pm - 2:45 pm,Class,AAE 69000,013,AAE,Non Ideal Behvrs In Propulsion
164,Variable Title,3.000,20006,Graduate|Professional|Undergraduate,,Wenbin Yu,,Distance Learning,,Class,AAE 69000,EPE,AAE,Multiscale Structural Mechncs
165,Variable Title,3.000,15922,Graduate|Professional|Undergraduate,TR,Wenbin Yu,Seng-Liang Wang Hall 2579,Lecture,3:00 pm - 4:15 pm,Class,AAE 69000,WNG,AAE,Multiscale Struct Mechanics
166,,1.000,10123,Graduate|Professional|Undergraduate,,James Francis Doyle,,Research,,Class,AAE 69800,002,AAE,Research MS Thesis
167,,1.000,10124,Graduate|Professional|Undergraduate,,William A Crossley,,Research,,Class,AAE 69800,003,AAE,Research MS Thesis
168,,1.000,10125,Graduate|Professional|Undergraduate,,James L Garrison,,Research,,Class,AAE 69800,004,AAE,Research MS Thesis
169,,1.000,10126,Graduate|Professional|Undergraduate,,Daniel A Delaurentis,,Research,,Class,AAE 69800,005,AAE,Research MS Thesis
170,,1.000,10127,Graduate|Professional|Undergraduate,,Alina Alexeenko,,Research,,Class,AAE 69800,006,AAE,Research MS Thesis
171,,1.000,10128,Graduate|Professional|Undergraduate,,Stephen D Heister,,Research,,Class,AAE 69800,007,AAE,Research MS Thesis
172,,1.000,10129,Graduate|Professional|Undergraduate,,Inseok Hwang,,Research,,Class,AAE 69800,008,AAE,Research MS Thesis
173,,1.000,10131,Graduate|Professional|Undergraduate,,Weinong W Chen,,Research,,Class,AAE 69800,010,AAE,Research MS Thesis
174,,1.000,10132,Graduate|Professional|Undergraduate,,Steven P Schneider,,Research,,Class,AAE 69800,011,AAE,Research MS Thesis
175,,1.000,10133,Graduate|Professional|Undergraduate,,Nicole Leanne Key,,Research,,Class,AAE 69800,012,AAE,Research MS Thesis
176,,1.000,10134,Graduate|Professional|Undergraduate,,John P Sullivan,,Research,,Class,AAE 69800,013,AAE,Research MS Thesis
177,,1.000,10136,Graduate|Professional|Undergraduate,,Dominick Ii Andrisani,,Research,,Class,AAE 69800,015,AAE,Research MS Thesis
178,,1.000,10138,Graduate|Professional|Undergraduate,,Gregory A Blaisdell,,Research,,Class,AAE 69800,017,AAE,Research MS Thesis
179,,1.000,10139,Graduate|Professional|Undergraduate,,Steven H Collicott,,Research,,Class,AAE 69800,018,AAE,Research MS Thesis
180,,1.000,10140,Graduate|Professional|Undergraduate,,William E Anderson,,Research,,Class,AAE 69800,019,AAE,Research MS Thesis
181,,1.000,10142,Graduate|Professional|Undergraduate,,R. Byron Pipes,,Research,,Class,AAE 69800,021,AAE,Research MS Thesis
182,,1.000,34527,Graduate|Professional|Undergraduate,,Li Qiao,,Research,,Class,AAE 69800,022,AAE,Research MS Thesis
183,,1.000,34529,Graduate|Professional|Undergraduate,,James M Longuski,,Research,,Class,AAE 69800,024,AAE,Research MS Thesis
184,,1.000,34531,Graduate|Professional|Undergraduate,,Kathleen Howell,,Research,,Class,AAE 69800,026,AAE,Research MS Thesis
185,,1.000,34532,Graduate|Professional|Undergraduate,,Martin Corless,,Research,,Class,AAE 69800,027,AAE,Research MS Thesis
186,,1.000,34984,Graduate|Professional|Undergraduate,,Steven F Son,,Research,,Class,AAE 69800,030,AAE,Research MS Thesis
187,,1.000,40458,Graduate|Professional|Undergraduate,,Dengfeng Sun,,Research,,Class,AAE 69800,031,AAE,Research MS Thesis
188,,1.000,40686,Graduate|Professional|Undergraduate,,Karen Marais,,Research,,Class,AAE 69800,032,AAE,Research MS Thesis
189,,1.000,40730,Graduate|Professional|Undergraduate,,Vikas Tomar,,Research,,Class,AAE 69800,033,AAE,Research MS Thesis
190,,1.000,48877,Graduate|Professional|Undergraduate,,Tom I-P Shih,,Research,,Class,AAE 69800,034,AAE,Research MS Thesis
191,,1.000,53965,Graduate|Professional|Undergraduate,,Robert Paul Lucht,,Research,,Class,AAE 69800,036,AAE,Research MS Thesis
192,,1.000,59546,Graduate|Professional|Undergraduate,,Timothee Louis Pourpoint,,Research,,Class,AAE 69800,037,AAE,Research MS Thesis
193,,1.000,59595,Graduate|Professional|Undergraduate,,Michael D Sangid,,Research,,Class,AAE 69800,038,AAE,Research MS Thesis
194,,1.000,59596,Graduate|Professional|Undergraduate,,Sally Pm Bane,,Research,,Class,AAE 69800,039,AAE,Research MS Thesis
195,,1.000,60359,Graduate|Professional|Undergraduate,,Michael James Grant,,Research,,Class,AAE 69800,042,AAE,Research MS Thesis
196,,1.000,60714,Graduate|Professional|Undergraduate,,Haifeng Wang,,Research,,Class,AAE 69800,043,AAE,Research MS Thesis
197,,1.000,64819,Graduate|Professional|Undergraduate,,Arthur E Frazho,,Research,,Class,AAE 69800,044,AAE,Research MS Thesis
198,,1.000,10175,Graduate|Professional|Undergraduate,,Wenbin Yu,,Research,,Class,AAE 69800,045,AAE,Research MS Thesis
199,,1.000,12197,Graduate|Professional|Undergraduate,,Jay P Gore,,Research,,Class,AAE 69800,046,AAE,Research MS Thesis
200,,1.000,13622,Graduate|Professional|Undergraduate,,Carolin E Frueh,,Research,,Class,AAE 69800,047,AAE,Research MS Thesis
201,,1.000,16227,Graduate|Professional|Undergraduate,,Sergey O Macheret,,Research,,Class,AAE 69800,048,AAE,Research MS Thesis
202,,1.000,16878,Graduate|Professional|Undergraduate,,Carson Daniel Slabaugh,,Research,,Class,AAE 69800,049,AAE,Research MS Thesis
203,,1.000,18235,Graduate|Professional|Undergraduate,,Tyler N Tallman,,Research,,Class,AAE 69800,050,AAE,Research MS Thesis
204,,1.000,18236,Graduate|Professional|Undergraduate,,Jonathan Poggie,,Research,,Class,AAE 69800,051,AAE,Research MS Thesis
205,,1.000,18237,Graduate|Professional|Undergraduate,,Shaoshuai Mou,,Research,,Class,AAE 69800,052,AAE,Research MS Thesis
206,,1.000,18238,Graduate|Professional|Undergraduate,,Daniel Louis Dumbacher,,Research,,Class,AAE 69800,053,AAE,Research MS Thesis
207,,1.000,18632,Graduate|Professional|Undergraduate,,Alexey Shashurin,,Research,,Class,AAE 69800,054,AAE,Research MS Thesis
208,,1.000,20068,Graduate|Professional|Undergraduate,,David Allen Spencer,,Research,,Class,AAE 69800,056,AAE,Research MS Thesis
209,,1.000,20140,Graduate|Professional|Undergraduate,,Johnathan Eugene Goodsell,,Research,,Class,AAE 69800,057,AAE,Research MS Thesis
210,,1.000,21182,Graduate|Professional|Undergraduate,,Terrence R Meyer,,Research,,Class,AAE 69800,058,AAE,Research MS Thesis
211,,1.000,21529,Graduate|Professional|Undergraduate,,Andres Arrieta Diaz,,Research,,Class,AAE 69800,060,AAE,Research MS Thesis
212,,1.000,22636,Graduate|Professional|Undergraduate,,David A Minton,,Research,,Class,AAE 69800,061,AAE,Research MS Thesis
213,,1.000,23247,Graduate|Professional|Undergraduate,,Guillermo Paniagua Perez,,Research,,Class,AAE 69800,062,AAE,Research MS Thesis
214,,1.000,24069,Graduate|Professional|Undergraduate,,Jan-Anders E Mansson,,Research,,Class,AAE 69800,063,AAE,Research MS Thesis
215,,1.000,24071,Graduate|Professional|Undergraduate,,Fabio Semperlotti,,Research,,Class,AAE 69800,064,AAE,Research MS Thesis
216,,1.000,23860,Graduate|Professional|Undergraduate,,Carlo Scalo,,Research,,Class,AAE 69800,065,AAE,Research MS Thesis
217,,1.000,10144,Graduate|Professional|Undergraduate,,William A Crossley,,Research,,Class,AAE 69900,002,AAE,Research PhD Thesis
218,,1.000,10145,Graduate|Professional|Undergraduate,,Daniel A Delaurentis,,Research,,Class,AAE 69900,003,AAE,Research PhD Thesis
219,,1.000,10146,Graduate|Professional|Undergraduate,,Alina Alexeenko,,Research,,Class,AAE 69900,004,AAE,Research PhD Thesis
220,,1.000,10147,Graduate|Professional|Undergraduate,,Stephen D Heister,,Research,,Class,AAE 69900,005,AAE,Research PhD Thesis
221,,1.000,10148,Graduate|Professional|Undergraduate,,Inseok Hwang,,Research,,Class,AAE 69900,006,AAE,Research PhD Thesis
222,,1.000,10150,Graduate|Professional|Undergraduate,,Li Qiao,,Research,,Class,AAE 69900,008,AAE,Research PhD Thesis
223,,1.000,10153,Graduate|Professional|Undergraduate,,Weinong W Chen,,Research,,Class,AAE 69900,011,AAE,Research PhD Thesis
224,,1.000,10154,Graduate|Professional|Undergraduate,,Steven P Schneider,,Research,,Class,AAE 69900,012,AAE,Research PhD Thesis
225,,1.000,10155,Graduate|Professional|Undergraduate,,John P Sullivan,,Research,,Class,AAE 69900,013,AAE,Research PhD Thesis
226,,1.000,10156,Graduate|Professional|Undergraduate,,James M Longuski,,Research,,Class,AAE 69900,014,AAE,Research PhD Thesis
227,,1.000,10157,Graduate|Professional|Undergraduate,,Dominick Ii Andrisani,,Research,,Class,AAE 69900,015,AAE,Research PhD Thesis
228,,1.000,10158,Graduate|Professional|Undergraduate,,Arthur E Frazho,,Research,,Class,AAE 69900,016,AAE,Research PhD Thesis
229,,1.000,10160,Graduate|Professional|Undergraduate,,Kathleen Howell,,Research,,Class,AAE 69900,018,AAE,Research PhD Thesis
230,,1.000,10161,Graduate|Professional|Undergraduate,,Martin Corless,,Research,,Class,AAE 69900,019,AAE,Research PhD Thesis
231,,1.000,10162,Graduate|Professional|Undergraduate,,Gregory A Blaisdell,,Research,,Class,AAE 69900,020,AAE,Research PhD Thesis
232,,1.000,10163,Graduate|Professional|Undergraduate,,Steven H Collicott,,Research,,Class,AAE 69900,021,AAE,Research PhD Thesis
233,,1.000,10164,Graduate|Professional|Undergraduate,,Peter K Imbrie,,Research,,Class,AAE 69900,022,AAE,Research PhD Thesis
234,,1.000,10165,Graduate|Professional|Undergraduate,,William E Anderson,,Research,,Class,AAE 69900,023,AAE,Research PhD Thesis
235,,1.000,34152,Graduate|Professional|Undergraduate,,James L Garrison,,Research,,Class,AAE 69900,027,AAE,Research PhD Thesis
236,,1.000,34535,Graduate|Professional|Undergraduate,,James Francis Doyle,,Research,,Class,AAE 69900,028,AAE,Research PhD Thesis
237,,1.000,34537,Graduate|Professional|Undergraduate,,Nicole Leanne Key,,Research,,Class,AAE 69900,029,AAE,Research PhD Thesis
238,,1.000,34539,Graduate|Professional|Undergraduate,,R. Byron Pipes,,Research,,Class,AAE 69900,031,AAE,Research PhD Thesis
239,,1.000,40476,Graduate|Professional|Undergraduate,,Dengfeng Sun,,Research,,Class,AAE 69900,032,AAE,Research PhD Thesis
240,,1.000,40687,Graduate|Professional|Undergraduate,,Karen Marais,,Research,,Class,AAE 69900,033,AAE,Research PhD Thesis
241,,1.000,40732,Graduate|Professional|Undergraduate,,Vikas Tomar,,Research,,Class,AAE 69900,034,AAE,Research PhD Thesis
242,,1.000,48154,Graduate|Professional|Undergraduate,,Robert Paul Lucht,,Research,,Class,AAE 69900,035,AAE,Research PhD Thesis
243,,1.000,48876,Graduate|Professional|Undergraduate,,Tom I-P Shih,,Research,,Class,AAE 69900,036,AAE,Research PhD Thesis
244,,1.000,49209,Graduate|Professional|Undergraduate,,Steven F Son,,Research,,Class,AAE 69900,037,AAE,Research PhD Thesis
245,,1.000,59547,Graduate|Professional|Undergraduate,,Timothee Louis Pourpoint,,Research,,Class,AAE 69900,039,AAE,Research PhD Thesis
246,,1.000,59597,Graduate|Professional|Undergraduate,,Sally Pm Bane,,Research,,Class,AAE 69900,040,AAE,Research PhD Thesis
247,,1.000,59598,Graduate|Professional|Undergraduate,,Michael D Sangid,,Research,,Class,AAE 69900,041,AAE,Research PhD Thesis
248,,1.000,60360,Graduate|Professional|Undergraduate,,Michael James Grant,,Research,,Class,AAE 69900,042,AAE,Research PhD Thesis
249,,1.000,60715,Graduate|Professional|Undergraduate,,Haifeng Wang,,Research,,Class,AAE 69900,043,AAE,Research PhD Thesis
250,,1.000,65348,Graduate|Professional|Undergraduate,,Jay P Gore,,Research,,Class,AAE 69900,044,AAE,Research PhD Thesis
251,,1.000,10176,Graduate|Professional|Undergraduate,,Wenbin Yu,,Research,,Class,AAE 69900,045,AAE,Research PhD Thesis
252,,1.000,11491,Graduate|Professional|Undergraduate,,Steven J Landry,,Research,,Class,AAE 69900,046,AAE,Research PhD Thesis
253,,1.000,13627,Graduate|Professional|Undergraduate,,Carolin E Frueh,,Research,,Class,AAE 69900,047,AAE,Research PhD Thesis
254,,1.000,16228,Graduate|Professional|Undergraduate,,Sergey O Macheret,,Research,,Class,AAE 69900,048,AAE,Research PhD Thesis
255,,1.000,16879,Graduate|Professional|Undergraduate,,Carson Daniel Slabaugh,,Research,,Class,AAE 69900,049,AAE,Research PhD Thesis
256,,1.000,18242,Graduate|Professional|Undergraduate,,Tyler N Tallman,,Research,,Class,AAE 69900,050,AAE,Research PhD Thesis
257,,1.000,18245,Graduate|Professional|Undergraduate,,Jonathan Poggie,,Research,,Class,AAE 69900,051,AAE,Research PhD Thesis
258,,1.000,18246,Graduate|Professional|Undergraduate,,Shaoshuai Mou,,Research,,Class,AAE 69900,052,AAE,Research PhD Thesis
259,,1.000,18247,Graduate|Professional|Undergraduate,,Daniel Louis Dumbacher,,Research,,Class,AAE 69900,053,AAE,Research PhD Thesis
260,,1.000,18633,Graduate|Professional|Undergraduate,,Alexey Shashurin,,Research,,Class,AAE 69900,054,AAE,Research PhD Thesis
261,,1.000,20069,Graduate|Professional|Undergraduate,,David Allen Spencer,,Research,,Class,AAE 69900,055,AAE,Research PhD Thesis
262,,1.000,20143,Graduate|Professional|Undergraduate,,Johnathan Eugene Goodsell,,Research,,Class,AAE 69900,056,AAE,Research PhD Thesis
263,,1.000,21183,Graduate|Professional|Undergraduate,,Terrence R Meyer,,Research,,Class,AAE 69900,057,AAE,Research PhD Thesis
264,,1.000,21531,Graduate|Professional|Undergraduate,,Guillermo Paniagua Perez,,Research,,Class,AAE 69900,058,AAE,Research PhD Thesis
265,,1.000,21532,Graduate|Professional|Undergraduate,,Andres Arrieta Diaz,,Research,,Class,AAE 69900,059,AAE,Research PhD Thesis
266,,1.000,22637,Graduate|Professional|Undergraduate,,David A Minton,,Research,,Class,AAE 69900,060,AAE,Research PhD Thesis
